[2026-05-11T14:36:07.916+0100][6.869s][info][gc,heap     ] GC(2) Survivor regions: 1->2(4)
[2026-05-11T14:36:07.916+0100][6.869s][info][gc,heap     ] GC(2) Old regions: 2->2
[2026-05-11T14:36:07.916+0100][6.869s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2026-05-11T14:36:07.916+0100][6.869s][info][gc,metaspace] GC(2) Metaspace: 11463K(11712K)->11463K(11712K) NonClass: 10351K(10496K)->10351K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:07.916+0100][6.869s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 125M->11M(500M) 5.841ms
[2026-05-11T14:36:07.916+0100][6.869s][info][gc,cpu      ] GC(2) User=0.04s Sys=0.00s Real=0.01s
[2026-05-11T14:36:14.031+0100][12.984s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:14.031+0100][12.984s][info][gc,task     ] GC(3) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.1ms
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 9.8ms
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.7ms
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,phases   ] GC(3)   Other: 0.1ms
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,heap     ] GC(3) Eden regions: 72->0(69)
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,heap     ] GC(3) Survivor regions: 2->5(10)
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,heap     ] GC(3) Old regions: 2->2
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,metaspace] GC(3) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:14.042+0100][12.995s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 299M->23M(500M) 11.297ms
[2026-05-11T14:36:14.042+0100][12.995s][info][gc,cpu      ] GC(3) User=0.08s Sys=0.02s Real=0.02s
[2026-05-11T14:36:20.752+0100][19.705s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:20.752+0100][19.705s][info][gc,task     ] GC(4) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.3ms
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.3ms
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 10.8ms
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.9ms
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,phases   ] GC(4)   Other: 0.1ms
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,heap     ] GC(4) Eden regions: 69->0(66)
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,heap     ] GC(4) Survivor regions: 5->8(10)
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,heap     ] GC(4) Old regions: 2->2
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,heap     ] GC(4) Humongous regions: 1->1
[2026-05-11T14:36:20.765+0100][19.717s][info][gc,metaspace] GC(4) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:20.765+0100][19.717s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 303M->38M(500M) 12.769ms
[2026-05-11T14:36:20.765+0100][19.718s][info][gc,cpu      ] GC(4) User=0.11s Sys=0.01s Real=0.01s
[2026-05-11T14:36:26.852+0100][25.805s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:26.852+0100][25.805s][info][gc,task     ] GC(5) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.4ms
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.3ms
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 12.5ms
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.7ms
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,phases   ] GC(5)   Other: 0.1ms
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,heap     ] GC(5) Eden regions: 66->0(68)
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,heap     ] GC(5) Survivor regions: 8->6(10)
[2026-05-11T14:36:26.866+0100][25.819s][info][gc,heap     ] GC(5) Old regions: 2->7
[2026-05-11T14:36:26.867+0100][25.819s][info][gc,heap     ] GC(5) Humongous regions: 1->1
[2026-05-11T14:36:26.867+0100][25.819s][info][gc,metaspace] GC(5) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:26.867+0100][25.819s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 302M->49M(500M) 14.366ms
[2026-05-11T14:36:26.867+0100][25.819s][info][gc,cpu      ] GC(5) User=0.13s Sys=0.02s Real=0.01s
[2026-05-11T14:36:27.591+0100][26.543s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:27.591+0100][26.544s][info][gc,task     ] GC(6) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.4ms
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 8.0ms
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.6ms
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,phases   ] GC(6)   Other: 0.1ms
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,heap     ] GC(6) Eden regions: 9->0(72)
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,heap     ] GC(6) Survivor regions: 6->2(2)
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,heap     ] GC(6) Old regions: 7->13
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,heap     ] GC(6) Humongous regions: 1->1
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,metaspace] GC(6) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:27.600+0100][26.553s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 85M->53M(500M) 9.685ms
[2026-05-11T14:36:27.600+0100][26.553s][info][gc,cpu      ] GC(6) User=0.08s Sys=0.02s Real=0.01s
[2026-05-11T14:36:34.611+0100][33.564s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:34.611+0100][33.564s][info][gc,task     ] GC(7) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.5ms
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.5ms
